[2026-04-19 14:13:29] ALERT | Reason: Model=Drowsy | EAR: 0.211 | Model: Drowsy | Emotion: neutral
[2026-04-19 14:13:31] ALERT | Reason: EAR=0.216<0.22 | EAR: 0.216 | Model: Awake | Emotion: neutral
[2026-04-19 14:13:34] ALERT | Reason: EAR=0.213<0.22 | EAR: 0.213 | Model: Awake | Emotion: sad
[2026-04-19 14:13:37] ALERT | Reason: EAR=0.219<0.22 | EAR: 0.219 | Model: Awake | Emotion: sad
[2026-04-19 14:13:40] ALERT | Reason: EAR=0.140<0.22 | EAR: 0.140 | Model: Awake | Emotion: angry
[2026-04-19 14:13:42] ALERT | Reason: EAR=0.172<0.22 | EAR: 0.172 | Model: Awake | Emotion: angry
[2026-04-19 14:13:44] ALERT | Reason: EAR=0.206<0.22 | EAR: 0.206 | Model: Awake | Emotion: sad
[2026-04-19 14:13:46] ALERT | Reason: EAR=0.185<0.22 | EAR: 0.185 | Model: Awake | Emotion: sad
[2026-04-19 14:13:50] ALERT | Reason: EAR=0.208<0.22 | EAR: 0.208 | Model: Awake | Emotion: sad
[2026-04-19 14:13:57] ALERT | Reason: Model=Drowsy | EAR: 1.000 | Model: Drowsy | Emotion: neutral
[2026-04-19 14:13:59] ALERT | Reason: Model=Drowsy | EAR: 1.000 | Model: Drowsy | Emotion: neutral
[2026-04-19 14:14:16] ALERT | Reason: EAR=0.175<0.22 | EAR: 0.175 | Model: Awake | Emotion: neutral
[2026-04-19 14:14:19] ALERT | Reason: EAR=0.216<0.22 | EAR: 0.216 | Model: Awake | Emotion: sad
[2026-04-19 14:14:21] ALERT | Reason: EAR=0.205<0.22 | EAR: 0.205 | Model: Awake | Emotion: sad
[2026-04-19 14:14:23] ALERT | Reason: EAR=0.203<0.22 | EAR: 0.203 | Model: Awake | Emotion: sad
[2026-04-19 14:14:28] ALERT | Reason: EAR=0.146<0.22 | EAR: 0.146 | Model: Awake | Emotion: neutral
[2026-04-19 14:14:30] ALERT | Reason: EAR=0.206<0.22 | EAR: 0.206 | Model: Awake | Emotion: neutral
[2026-04-19 14:14:34] ALERT | Reason: EAR=0.193<0.22 | EAR: 0.193 | Model: Awake | Emotion: neutral
[2026-04-19 14:14:44] ALERT | Reason: EAR=0.093<0.22 | EAR: 0.093 | Model: Awake | Emotion: neutral
[2026-04-19 14:14:55] ALERT | Reason: Model=Drowsy | EAR: 0.362 | Model: Drowsy | Emotion: sad
[2026-04-19 14:14:57] ALERT | Reason: Model=Drowsy | EAR: 0.379 | Model: Drowsy | Emotion: sad
[2026-04-19 14:14:59] ALERT | Reason: Model=Drowsy | EAR: 0.382 | Model: Drowsy | Emotion: neutral
[2026-04-19 14:15:06] ALERT | Reason: Model=Drowsy | EAR: 0.356 | Model: Drowsy | Emotion: neutral
[2026-04-19 14:15:08] ALERT | Reason: Model=Drowsy | EAR: 0.354 | Model: Drowsy | Emotion: neutral
[2026-04-19 14:15:18] ALERT | Reason: EAR=0.093<0.22 | EAR: 0.093 | Model: Awake | Emotion: neutral
[2026-04-19 14:15:20] ALERT | Reason: EAR=0.099<0.22 | EAR: 0.099 | Model: Awake | Emotion: neutral
[2026-04-19 14:15:22] ALERT | Reason: EAR=0.175<0.22 | EAR: 0.175 | Model: Awake | Emotion: neutral
[2026-04-19 14:15:24] ALERT | Reason: EAR=0.112<0.22 | EAR: 0.112 | Model: Awake | Emotion: neutral
[2026-04-19 14:15:26] ALERT | Reason: EAR=0.136<0.22 | EAR: 0.136 | Model: Awake | Emotion: neutral
[2026-04-19 14:15:29] ALERT | Reason: EAR=0.094<0.22 | EAR: 0.094 | Model: Awake | Emotion: neutral
[2026-04-19 14:15:31] ALERT | Reason: EAR=0.133<0.22 | EAR: 0.133 | Model: Awake | Emotion: neutral
[2026-04-19 14:15:34] ALERT | Reason: EAR=0.088<0.22 | EAR: 0.088 | Model: Awake | Emotion: neutral
[2026-04-19 14:15:38] ALERT | Reason: EAR=0.214<0.22 | EAR: 0.214 | Model: Awake | Emotion: angry
[2026-04-19 14:15:44] ALERT | Reason: EAR=0.176<0.22 | EAR: 0.176 | Model: Awake | Emotion: sad
[2026-04-19 14:41:45] ALERT | Reason: Model=Drowsy | EAR: 0.282 | Model: Drowsy | Emotion: neutral
[2026-04-19 14:41:47] ALERT | Reason: Model=Drowsy | EAR: 1.000 | Model: Drowsy | Emotion: neutral
[2026-04-19 14:41:59] ALERT | Reason: EAR=0.171<0.22 | EAR: 0.171 | Model: Awake | Emotion: sad
[2026-04-19 14:44:05] ALERT | EAR=0.150<0.22 | EAR:0.150 | Model:Initializing... | Emotion:neutral
[2026-04-19 14:44:07] ALERT | EAR=0.191<0.22 | EAR:0.191 | Model:Initializing... | Emotion:neutral
[2026-04-19 14:44:19] ALERT | EAR=0.217<0.22 | EAR:0.217 | Model:Initializing... | Emotion:neutral
[2026-04-19 14:44:22] ALERT | EAR=0.167<0.22, Model=Drowsy | EAR:0.167 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:44:32] ALERT | EAR=0.219<0.22, Model=Drowsy | EAR:0.219 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:44:35] ALERT | Model=Drowsy | EAR:0.280 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:44:37] ALERT | Model=Drowsy | EAR:0.349 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:44:39] ALERT | Model=Drowsy | EAR:0.314 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:44:41] ALERT | Model=Drowsy | EAR:0.334 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:44:43] ALERT | Model=Drowsy | EAR:0.362 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:44:45] ALERT | Model=Drowsy | EAR:0.323 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:44:47] ALERT | Model=Drowsy | EAR:0.346 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:44:49] ALERT | Model=Drowsy | EAR:0.251 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:44:51] ALERT | Model=Drowsy | EAR:0.272 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:45:03] ALERT | EAR=0.156<0.22 | EAR:0.156 | Model:Awake | Emotion:sad
[2026-04-19 14:45:05] ALERT | EAR=0.143<0.22 | EAR:0.143 | Model:Awake | Emotion:neutral
[2026-04-19 14:45:32] ALERT | EAR=0.200<0.22 | EAR:0.200 | Model:Awake | Emotion:sad
[2026-04-19 14:45:34] ALERT | EAR=0.143<0.22 | EAR:0.143 | Model:Awake | Emotion:sad
[2026-04-19 14:45:36] ALERT | EAR=0.217<0.22 | EAR:0.217 | Model:Awake | Emotion:sad
[2026-04-19 14:45:38] ALERT | EAR=0.171<0.22 | EAR:0.171 | Model:Awake | Emotion:sad
[2026-04-19 14:45:40] ALERT | EAR=0.190<0.22 | EAR:0.190 | Model:Awake | Emotion:surprise
[2026-04-19 14:45:42] ALERT | EAR=0.077<0.22 | EAR:0.077 | Model:Awake | Emotion:sad
[2026-04-19 14:45:44] ALERT | EAR=0.178<0.22 | EAR:0.178 | Model:Awake | Emotion:fear
[2026-04-19 14:46:13] ALERT | EAR=0.178<0.22 | EAR:0.178 | Model:Awake | Emotion:sad
[2026-04-19 14:46:20] ALERT | EAR=0.208<0.22 | EAR:0.208 | Model:Awake | Emotion:sad
[2026-04-19 14:46:44] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:46:46] ALERT | Model=Drowsy | EAR:0.252 | Model:Drowsy | Emotion:sad
